StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID1_4_TEXT,Q38,Q2,Q2_18_TEXT,Q3,Q3_8_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q40,Q15,Q15_8_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_9_TEXT,Q17,Q17_10_TEXT,Q19,Q25,Q24,Q46,Q55,Q23,Q22,Q21,Q20,Q28,Q27,Q29,Q47,Q47_12_TEXT,Q30,Q33,Q34,Q34_7_TEXT,Q35,Q35_7_TEXT,Q36,Q36_7_TEXT,Q37,Q37_7_TEXT,Q50,Q50_7_TEXT,Q56,Q56_7_TEXT,Q53,Q52
2022-04-26 10:53:39,2022-04-26 11:03:25,IP Address,132.178.207.235,100,585,True,2022-04-26 11:03:26,R_2cdVR0djJE7FGBW,,,,,43.5885,-116.1918,anonymous,EN,Faculty member,,,"MS Geoscience,PhD Geoscience",,"Private for-profit industry,Independent consulting,Academia -  primarily teaching",,Very important,"Data management,Regression analyses,Process models (e.g. hydrologic modeling, fire spread),Closed-form mathematical models",Moderate experience but more training required,Moderate experience but more training required,,,Moderate experience but more training required,,Competent at a professional level (ready to enter the job market),,"Efficacy of interventions/treatments (through controlled or natural experiments),Latent categorical or clustering variables (i.e. survey response)",,3,7,5,2,1,4,8,6,9,,"R,Other (please specify)",MatLab,Moderate experience but more training required,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc)","R,Python",,"Fitting complex regression analyses,Effective data visualization and/or presentation of results",,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,,
2022-04-26 10:59:32,2022-04-26 11:07:37,IP Address,132.178.207.17,100,485,True,2022-04-26 11:07:38,R_ZLgIlpLRoTh78AN,,,,,43.5885,-116.1918,anonymous,EN,PhD student,,2019,"PhD Ecology, Evolution, & Behavior",,"Private non-profit organization,Government",,Moderately important,"Data management,Process models (e.g. hydrologic modeling, fire spread)",Moderate experience but more training required,,,,No experience,,,,"Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,4,5,2,6,1,7,3,8,9,,"R,ArcGIS",,Moderate experience but more training required,,,,,,,,Competent at a professional level,,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty","R,Python,STAN",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources",EcoStatsBSU Slack channel,It is at a difficult time for me to attend,,It is at a difficult time for me to attend,,,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I forget,,,,,
2022-04-26 11:07:47,2022-04-26 11:16:33,IP Address,132.178.141.100,100,526,True,2022-04-26 11:16:34,R_Rf6J3qevvHVR1Ml,,,,,43.5885,-116.1918,anonymous,EN,PhD student,,2019,Other (please specify,PhD Biomolecular Science,"Private for-profit industry,Academia - primarily research,Government",,Extremely important,"Data management,Machine learning,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,,No experience,,,,,,"Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Latent categorical or clustering variables (i.e. survey response)",,2,5,6,7,3,4,8,1,9,,"R,Python",,Some entry level experience,Some entry level experience,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty,Student-led workshops","R,Python",,"Managing large or complex data,Effective data visualization and/or presentation of results,Taking advantage of high-performance computing resources",,"I do not know what this resource is,Some other reason (please specify)",I've never heard of it,"I do not know what this resource is,Some other reason (please specify)","I've never heard of it, are these resources not advertised to the Biomolecular sciences department?","I do not know what this resource is,Some other reason (please specify)",I've never heard of it,"I do not know what this resource is,Some other reason (please specify)",I've never heard of it,"I do not know what this resource is,Some other reason (please specify)",I've never heard of it,"I do not know what this resource is,Some other reason (please specify)",I've never heard of it,I don't know. This is the first I am hearing about any of these resources. Are they only advertised to certain graduate student groups?,Better job of letting students know they have these resources available to them
2022-04-26 11:23:04,2022-04-26 11:31:06,IP Address,65.129.157.147,100,481,True,2022-04-26 11:31:06,R_1LzGNQLm6WQyvIz,,,,,43.5441,-116.5662,anonymous,EN,Faculty member,,,"MS Biology,Other (please specify",PhD BMOL,Academia - primarily research,,Extremely important,"Data management,Regression analyses,Machine learning,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,No experience,No experience,,,,,,"Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Epidemiological quantities (susceptibility, transmission),Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,5,6,1,7,8,3,4,2,9,,R,,Some entry level experience,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)","R,Python,Julia",,"Fitting complex regression analyses,Effective data visualization and/or presentation of results,Taking advantage of high-performance computing resources",,I forget,,I do not know what this resource is,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I do not know what this resource is,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,Biometry is great!,"Bioinformatics is insufficient "
2022-04-26 11:27:22,2022-04-26 11:34:20,IP Address,132.178.150.230,100,417,True,2022-04-26 11:34:20,R_3Gq4gRvzgygPiAM,,,,,43.5345,-115.9711,anonymous,EN,Faculty member,,,"MS Biology,MA Biology,Other (please specify","Biomedical Engineering, Biomolecular Sciences, Materials Science","Private for-profit industry,Academia - primarily research",,Extremely important,"Data management,Data simulation,Individual or agent-based models/computer simulation,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Competent at a professional level (ready to enter the job market),,,Moderate experience but more training required,,Some entry level experience,,,"Abundance or occurrence of species or events,Epidemiological quantities (susceptibility, transmission),Spatial (or temporal) autocorrelation in the predictors or response",,1,7,5,8,2,4,3,6,9,,"R,JAVA",,Some entry level experience,,,,,Some entry level experience,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)",,,"Managing large or complex data,Effective data visualization and/or presentation of results,Taking advantage of high-performance computing resources",,,,,,,,,,,,,,,
2022-04-26 10:58:13,2022-04-26 11:36:11,IP Address,132.178.207.16,100,2278,True,2022-04-26 11:36:12,R_1AF0FYsE5yGMnRL,,,,,43.5885,-116.1918,anonymous,EN,Faculty member,,,"MS Biology,MS Hydrologic Science,PhD Ecology, Evolution, & Behavior",,"Private for-profit industry,Private non-profit organization,Independent consulting,Government",,Very important,"Data management,Regression analyses,Process models (e.g. hydrologic modeling, fire spread),Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Moderate experience but more training required,,,No experience,,,Some entry level experience,"Abundance or occurrence of species or events,Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,1,5,6,4,2,7,3,8,9,,R,,Moderate experience but more training required,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)","R,Python",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results",1:1 R help sessions provided by the Biology department,Some other reason (please specify),just haven't got there yet,Some other reason (please specify),I want to just haven't made it yet,I do not know what this resource is,,Some other reason (please specify),This topic is not relevant for me,,,Some other reason (please specify),time is allocated to something else,The new structure of Biol 601 is great.  Access to a student-led R resource is great.,A structured course that includes training in ordination analyses
2022-04-26 11:35:30,2022-04-26 11:41:37,IP Address,65.129.92.75,100,367,True,2022-04-26 11:41:38,R_3siGP1G6dqo29Yn,,,,,43.6349,-116.2023,anonymous,EN,Masters student,,2020,MS Biology,,Private non-profit organization,,Extremely important,"Data management,Regression analyses,Data simulation,Individual or agent-based models/computer simulation,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Competent at a professional level (ready to enter the job market),Competent at a professional level (ready to enter the job market),,Some entry level experience,,No experience,,,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,1,4,3,5,2,6,7,9,8,,"R,Julia,ArcGIS,QGIS,Google Earth Engine",,Competent at a professional level,,,,,,Moderate experience but more training required,,Competent at a professional level,Moderate experience but more training required,Some entry level experience,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty,Student-led workshops","R,STAN,QGIS,Google Earth Engine",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps","R Users' Group,Stats Hour,EcoStatsBSU Slack channel",,,,,,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I forget",,I do not know what this resource is,,It is at a difficult time for me to attend,,There is solid training in a range of categories and ample access to Computational hardware.,Some more in-depth training on certain programs or analyses of interest could be helpful. As well as better information on how to access the computational hardware options.
2022-04-26 11:39:01,2022-04-26 11:45:07,IP Address,159.118.96.55,100,365,True,2022-04-26 11:45:07,R_2Pqmm0xCJ7ZbVHS,,,,,43.6339,-116.2942,anonymous,EN,Faculty member,,,"PhD Ecology, Evolution, & Behavior",,"Academia - primarily research,Academia -  primarily teaching,Government",,Extremely important,"Data management,Regression analyses,Machine learning,Data simulation,Process models (e.g. hydrologic modeling, fire spread),Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Moderate experience but more training required,Moderate experience but more training required,Some entry level experience,Some entry level experience,,,,"Abundance or occurrence of species or events,Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,6,1,2,4,5,3,7,8,9,,"R,Python,STAN,ArcGIS,QGIS,Google Earth Engine",,Moderate experience but more training required,Some entry level experience,Some entry level experience,,,,,,Moderate experience but more training required,Moderate experience but more training required,Moderate experience but more training required,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","R,STAN,BUGS/JAGS,ArcGIS,QGIS,Google Earth Engine",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources",Time Series & Remote Sensing group (TSARS),"It is at a difficult time for me to attend,I personally do not find this type of resource helpful for my learning,I do not know what this resource is",,I do not know what this resource is,,"I personally do not find this type of resource helpful for my learning,I forget",,,,I do not know what this resource is,,"It is at a difficult time for me to attend,I do not know what this resource is",,,
2022-04-26 11:53:33,2022-04-26 11:59:16,IP Address,132.178.110.162,100,343,True,2022-04-26 11:59:17,R_30hI3I0BA9XyFw9,,,,,43.6349,-116.2023,anonymous,EN,Faculty member,,,"MA Anthropology,MAA Anthropology,PhD Ecology, Evolution, & Behavior",,"Private for-profit industry,Academia - primarily research,Government",,Moderately important,"Data management,Regression analyses,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,Some entry level experience,,,,,,,"Abundance or occurrence of species or events,Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Spatial (or temporal) autocorrelation in the predictors or response",,1,6,7,3,4,5,2,8,9,,R,,Some entry level experience,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)",R,,"Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps",,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I do not know what this resource is",,,More advertising so students know they exist
2022-04-25 09:39:10,2022-04-26 12:31:19,IP Address,132.178.207.21,100,96728,True,2022-04-26 12:31:19,R_11jctNFoVpkqndW,,,,,43.5885,-116.1918,anonymous,EN,Masters student,,2020,MS Biology,,Government,,Moderately important,"Data management,Machine learning,Process models (e.g. hydrologic modeling, fire spread),Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,,No experience,,No experience,,,,"Abundance or occurrence of species or events,Latent categorical or clustering variables (i.e. survey response)",,5,6,3,1,7,4,8,2,9,,R,,Some entry level experience,,,,,,,,,,,"Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","R,ArcGIS",,"Managing large or complex data,Effective data visualization and/or presentation of results,Taking advantage of high-performance computing resources",R Users' Group,,,I forget,,I forget,,I do not know what this resource is,,Some other reason (please specify),I get many questions answered using other resources,I do not know what this resource is,,,
2022-04-26 13:47:23,2022-04-26 14:00:12,IP Address,75.174.84.188,100,768,True,2022-04-26 14:00:12,R_30v56WDeqTyBG7g,,,,,43.6502,-116.4343,anonymous,EN,PhD student,,2019,"PhD Ecology, Evolution, & Behavior",,"Private for-profit industry,Private non-profit organization,Government",,Very important,"Data management,Regression analyses,Machine learning,Data simulation,Process models (e.g. hydrologic modeling, fire spread),Individual or agent-based models/computer simulation,Closed-form mathematical models",Moderate experience but more training required,Competent at a professional level (ready to enter the job market),Some entry level experience,Competent at a professional level (ready to enter the job market),Moderate experience but more training required,Some entry level experience,Moderate experience but more training required,,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Epidemiological quantities (susceptibility, transmission),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,6,8,3,4,1,2,7,5,9,,"R,STAN,Julia,QGIS",,Competent at a professional level,,Moderate experience but more training required,,,,Moderate experience but more training required,,,Some entry level experience,,"Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own),Student-led workshops","STAN,Julia",,"Managing large or complex data,Working with spatial data and creating maps,Taking advantage of high-performance computing resources","R Users' Group,Stats Hour,EcoStatsBSU Slack channel",,,,,,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,It is at a difficult time for me to attend",,Some other reason (please specify),,It is at a difficult time for me to attend,,,
2022-04-26 14:08:21,2022-04-26 14:30:39,IP Address,132.178.207.19,100,1337,True,2022-04-26 14:30:39,R_1eFZwzrolgakelO,,,,,43.5885,-116.1918,anonymous,EN,PhD student,,2018,"PhD Ecology, Evolution, & Behavior",,"Independent consulting,Academia - primarily research,Academia -  primarily teaching",,Extremely important,"Data management,Machine learning,Data simulation,Process models (e.g. hydrologic modeling, fire spread),Individual or agent-based models/computer simulation,Closed-form mathematical models,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,,No experience,Some entry level experience,Moderate experience but more training required,No experience,Some entry level experience,Some entry level experience,"Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Spatial (or temporal) autocorrelation in the predictors or response",,7,8,1,5,3,4,6,2,9,,"R,Python,ArcGIS",,Moderate experience but more training required,Some entry level experience,,,,,,,Competent at a professional level,,,"Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","R,Python,JAVA,QGIS,Google Earth Engine",,"Managing large or complex data,Effective data visualization and/or presentation of results,Working with spatial data and creating maps,Taking advantage of high-performance computing resources",,"It is at a difficult time for me to attend,I personally do not find this type of resource helpful for my learning,I forget,Some other reason (please specify)",Often working on different sorts of issues; need more foundational instruction,"It is at a difficult time for me to attend,I personally do not find this type of resource helpful for my learning",,"I personally do not find this type of resource helpful for my learning,I am not comfortable posting in this channel,Some other reason (please specify)",I dont really get how to fully utilize Slack,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,,
2022-04-26 14:19:10,2022-04-26 14:31:34,IP Address,96.19.9.102,100,743,True,2022-04-26 14:31:34,R_pENy0LwvQIAObHX,,,,,43.6342,-116.341,anonymous,EN,Faculty member,,,MS Biology,,Other (please specify),Academia - teaching and research,Very important,"Data management,Regression analyses,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,Moderate experience but more training required,,,,,,,"Abundance or occurrence of species or events,Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response",,1,2,6,5,4,7,3,8,9,,"R,ArcGIS,Other (please specify)",Prism (Graphpad),Some entry level experience,,,,,,,,Some entry level experience,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)","R,ArcGIS",,"Fitting complex regression analyses,Effective data visualization and/or presentation of results",,Some other reason (please specify),"Too many other things to do in my job; Instead, I seek assistance from statisticians (e.g., Laura Bond, Julie Heath)",Some other reason (please specify),same as previous,Some other reason (please specify),same as previous,Some other reason (please specify),same as previous,Some other reason (please specify),same as previous,Some other reason (please specify),same as previous,it has been working for me and my students so far; complexity of analyses are steadilty increasing though,my students benefit most from focuing on inference from experimental design and analysis approaches
2022-04-26 16:40:59,2022-04-26 16:49:37,IP Address,132.178.109.51,100,517,True,2022-04-26 16:49:37,R_77cM3L2q8mcmaVX,,,,,43.6643,-116.2419,anonymous,EN,Faculty member,,,MA Anthropology,,Private for-profit industry,,Very important,"Data management,Regression analyses,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Some entry level experience,Some entry level experience,,,,,,No experience,"Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Latent categorical or clustering variables (i.e. survey response)",,1,3,4,5,2,6,7,8,9,,"R,Other (please specify)","SPSS ",Competent at a professional level,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab)",R,,"Managing large or complex data,Fitting complex regression analyses",,Some other reason (please specify),time constraints,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,I do not know what this resource is,,,
2022-04-26 17:23:18,2022-04-26 17:36:34,IP Address,160.2.137.205,100,796,True,2022-04-26 17:36:34,R_2rrvSJc8MON7g4p,,,,,43.578,-116.2954,anonymous,EN,Masters student,,2019,MA Anthropology,,Academia - primarily research,,Extremely important,"Data management,Regression analyses,Closed-form mathematical models,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Some entry level experience,,,,,Some entry level experience,,"Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Latent categorical or clustering variables (i.e. survey response)",,1,6,7,2,3,4,5,8,9,,"R,Other (please specify)",SPSS,Moderate experience but more training required,,,,,,,,,,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty",R,,"Managing large or complex data,Fitting complex regression analyses",,"I do not know what this resource is,Some other reason (please specify)",I work full time,"I do not know what this resource is,Some other reason (please specify)",I work full time,"I do not know what this resource is,Some other reason (please specify)",I work full time,"I do not know what this resource is,Some other reason (please specify)",I work full time,"I do not know what this resource is,Some other reason (please specify)",I work full time,"I do not know what this resource is,Some other reason (please specify)",I work full time,,
2022-04-26 20:40:50,2022-04-26 20:55:59,IP Address,75.98.147.17,100,908,True,2022-04-26 20:55:59,R_WqA4wVG95R2QnHr,,,,,43.619,-116.9472,anonymous,EN,Masters student,,2019,MS Biology,,Independent consulting,,Extremely important,"Data management,Regression analyses,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",No experience,Some entry level experience,,,,,,,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Multivariate indices of community composition (e.g. community assemblages and similarity indexes)",,1,3,4,6,2,7,5,8,9,,R,,Some entry level experience,,,,,,,,,,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty",R,,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results",,Some other reason (please specify),My skill level is not good enough.  My skills are very basic and would require much basic training.  I am currently reading and practicing on my own.  I would benefit from either one on one training or a group dedicated to fundamental training.,Some other reason (please specify),My skills are very rudimentary and I would slow others down.,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,,A basic R class would be helpful.
2022-04-27 06:41:37,2022-04-27 06:51:10,IP Address,160.2.73.151,100,573,True,2022-04-27 06:51:11,R_1FhxvJQi7LptxFV,,,,,43.6054,-116.204,anonymous,EN,Faculty member,,,MS Biology,,"Private non-profit organization,Independent consulting,Government",,Extremely important,"Data management,Regression analyses,Machine learning,Data simulation,Process models (e.g. hydrologic modeling, fire spread),Individual or agent-based models/computer simulation,Closed-form mathematical models,Structural equation modeling,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Competent at a professional level (ready to enter the job market),No experience,Some entry level experience,Some entry level experience,Some entry level experience,No experience,Some entry level experience,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Multivariate indices of community composition (e.g. community assemblages and similarity indexes),Efficacy of interventions/treatments (through controlled or natural experiments),Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,,,,,,,,,,,"R,ArcGIS,Google Earth Engine",,Moderate experience but more training required,,,,,,,,Competent at a professional level,,Competent at a professional level,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","R,Python,STAN,BUGS/JAGS",,"Fitting complex regression analyses,Taking advantage of high-performance computing resources",R Users' Group,,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,,Increased awareness of available resources
2022-04-27 11:34:32,2022-04-27 11:41:03,IP Address,132.178.127.178,100,390,True,2022-04-27 11:41:04,R_2zo4czvUYcDh25h,,,,,43.5885,-116.1918,anonymous,EN,Masters student,,2020,MA Anthropology,,Academia -  primarily teaching,,Very important,"Data management,Regression analyses,Process models (e.g. hydrologic modeling, fire spread)",Moderate experience but more training required,Some entry level experience,,,Some entry level experience,,,,"Abundance or occurrence of species or events,Vital rates of a population (e.g. mortality, fecundity, emigration, immigration),Latent categorical or clustering variables (i.e. survey response)",,2,4,5,6,1,3,8,7,9,,"R,QGIS",,Moderate experience but more training required,,,,,,,,,Some entry level experience,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Weeklong ‘bootcamps’ provided by faculty","R,QGIS",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results,Working with spatial data and creating maps",R Users' Group,,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,I do not know what this resource is,,NA,Availability of resources needs to be better shared so students are aware of their existence.
2022-04-27 11:56:57,2022-04-27 12:02:41,IP Address,132.178.207.22,100,343,True,2022-04-27 12:02:41,R_xgToVW2QWRVsgUx,,,,,43.5885,-116.1918,anonymous,EN,Faculty member,,,"MA Anthropology,MAA Anthropology,PhD Ecology, Evolution, & Behavior",,"Private for-profit industry,Private non-profit organization,Academia - primarily research,Academia -  primarily teaching,Non-university teaching",,Very important,"Data management,Regression analyses,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,Some entry level experience,,,,,,,"Abundance or occurrence of species or events,Efficacy of interventions/treatments (through controlled or natural experiments),Latent categorical or clustering variables (i.e. survey response)",,1,4,6,3,2,7,5,8,9,,"R,Other (please specify)",SPSS,Some entry level experience,,,,,,,,,,,"Integration of coding instruction into class assignments (e.g. Biometry lecture assignments, EEB 622 assignments, etc),Weeklong ‘bootcamps’ provided by faculty,Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own),Student-led workshops","R,ArcGIS,QGIS",,"Managing large or complex data,Fitting complex regression analyses,Effective data visualization and/or presentation of results",1:1 R help sessions provided by the Biology department,"It is at a difficult time for me to attend,Some other reason (please specify)",I usually need specific solutions and learn better when applying the knowledge rather than discussing theoreticals,It is at a difficult time for me to attend,,I do not know what this resource is,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,,,I do not know what this resource is,,,
2022-04-27 20:56:23,2022-04-27 21:00:41,IP Address,132.178.238.27,100,257,True,2022-04-27 21:00:41,R_1KfnA7A9jS3T13y,,,,,43.5885,-116.1918,anonymous,EN,Masters student,,2021,MS Biology,,"Private for-profit industry,Academia - primarily research",,Extremely important,"Data management,Multivariate analyses (e.g. principle components, cluster analysis, factor analysis)",Moderate experience but more training required,,,,,,,,"Abundance or occurrence of species or events,Spatial (or temporal) autocorrelation in the predictors or response,Latent categorical or clustering variables (i.e. survey response)",,2,5,1,8,6,7,3,4,9,,R,,Competent at a professional level,,,,,,,,,,,"Coding-focused course offerings (e.g., Intro to Spatial Data in R; Biometry R lab),Self-motivated learning with curated resources (i.e. faculty provide lists of self-led tutorials to do on your own)","Python,JAVA",,"Managing large or complex data,Taking advantage of high-performance computing resources",,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,It is at a difficult time for me to attend,I forget",,I do not know what this resource is,,I do not know what this resource is,,"It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,I do not know what this resource is",,I do not know what this resource is,,It does not directly relate to the types of computational/statistical problems I (or my students) typically encounter,,Course work has been helpful.,Can we have a student useable node dedicated for Graduate Students to test datasets/models/analyses on the High Computing Resources like the Computer Science students get?
